id,n_tokens,n_axes,show_imprints,n_bananas,n_scorpions,box0_content,box1_content,box2_content,token0_box,token1_box,axe0_box,axe1_box,response_time_sender,response_time_interpreter
5412,1,2,0,2,1,scorpion,banana,banana,2,NA,2,NA,2887,4193
5414,1,1,0,1,2,scorpion,scorpion,banana,2,NA,2,NA,3207,4131
5423,2,1,0,2,1,scorpion,banana,banana,2,1,2,NA,13092,6276
5430,1,2,0,1,2,banana,scorpion,scorpion,0,NA,0,NA,2958,2130
5418,2,2,0,2,1,scorpion,banana,banana,2,1,1,2,6671,9204
5413,1,2,1,2,1,banana,scorpion,banana,0,NA,1,NA,3108,5056
5410,1,1,1,2,1,banana,scorpion,banana,2,NA,2,NA,4371,5612
5416,1,2,0,1,2,banana,scorpion,scorpion,0,NA,0,NA,4022,3231
5434,2,2,0,1,2,banana,scorpion,scorpion,0,NA,0,NA,4150,2357
5432,2,1,1,1,2,scorpion,banana,scorpion,1,NA,1,NA,5591,3932
5436,1,1,0,1,2,scorpion,banana,scorpion,1,NA,1,NA,13256,2654
5424,2,2,0,2,1,banana,banana,scorpion,1,0,NA,NA,6030,1749
5445,1,1,0,1,2,scorpion,scorpion,banana,2,NA,2,NA,7343,3628
5435,1,1,1,1,2,scorpion,banana,scorpion,1,NA,1,NA,3675,3810
5431,1,1,1,2,1,scorpion,banana,banana,2,NA,0,NA,8609,3583
5446,2,2,0,2,1,banana,scorpion,banana,0,2,0,2,4810,6694
5449,1,2,1,2,1,banana,banana,scorpion,0,NA,0,NA,7536,23695
5448,2,2,0,1,2,banana,scorpion,scorpion,0,NA,0,NA,6333,3316
5454,1,2,0,1,2,scorpion,banana,scorpion,1,NA,1,NA,8561,4244
5452,1,2,1,1,2,scorpion,banana,scorpion,1,NA,1,NA,4323,4290
5453,1,2,0,2,1,banana,scorpion,banana,1,NA,0,2,6974,5249
5702,2,2,0,1,2,scorpion,scorpion,banana,2,NA,2,NA,6359,3685
5523,2,1,0,2,1,banana,scorpion,banana,2,0,0,NA,4402,4321
5524,1,1,1,2,1,scorpion,banana,banana,2,NA,2,NA,2770,5275
5484,1,2,1,1,2,scorpion,scorpion,banana,2,NA,2,NA,2143,2879
5469,2,2,0,2,1,scorpion,banana,banana,1,2,2,1,5132,6687
5467,1,1,0,1,2,scorpion,banana,scorpion,1,NA,1,NA,4469,5732
5904,1,2,0,2,1,banana,scorpion,banana,0,NA,0,NA,22683,3071
5526,2,2,0,2,1,banana,banana,scorpion,0,1,0,1,6230,7569
5529,1,2,1,2,1,scorpion,banana,banana,2,NA,1,0,1928,8877
5473,2,1,1,2,1,banana,scorpion,banana,0,2,0,NA,13710,3252
5476,1,1,1,2,1,scorpion,banana,banana,0,NA,2,NA,26297,5044
5474,1,1,0,2,1,banana,scorpion,banana,0,NA,0,NA,6119,3860
5485,1,2,0,2,1,banana,scorpion,banana,0,NA,0,NA,5345,2516
5483,2,1,1,1,2,scorpion,scorpion,banana,2,NA,2,NA,2364,4613
5506,2,1,0,1,2,scorpion,banana,scorpion,1,NA,1,NA,2644,5632
5439,1,2,1,2,1,banana,scorpion,banana,1,NA,1,NA,26062,2126
5486,1,2,0,1,2,scorpion,banana,scorpion,1,NA,1,NA,4054,2974
5489,1,2,1,2,1,banana,banana,scorpion,2,NA,1,0,4290,6528
5488,1,1,1,2,1,scorpion,banana,banana,0,NA,2,NA,7023,6863
5438,1,1,0,2,1,banana,banana,scorpion,0,NA,0,NA,4846,4416
5441,2,1,1,2,1,banana,scorpion,banana,2,0,0,NA,8693,2732
5504,1,2,0,1,2,scorpion,scorpion,banana,2,NA,2,NA,2512,1841
5510,1,1,0,2,1,scorpion,banana,banana,2,NA,2,NA,2276,2670
6280,2,1,1,2,1,scorpion,banana,banana,2,1,1,NA,5318,4680
5443,2,1,0,2,1,banana,scorpion,banana,0,2,0,NA,8670,6545
5515,1,2,1,2,1,banana,scorpion,banana,1,NA,2,0,8972,6495
5442,1,1,0,2,1,banana,scorpion,banana,0,NA,0,NA,6404,2972
5513,1,2,0,2,1,banana,banana,scorpion,0,NA,0,NA,2191,6295
5514,2,1,1,1,2,banana,scorpion,scorpion,0,NA,NA,NA,2946,1822
5507,2,2,0,1,2,scorpion,scorpion,banana,2,NA,1,0,4163,6044
5511,2,2,1,2,1,scorpion,banana,banana,2,1,2,1,4517,9544
5535,1,1,1,1,2,scorpion,banana,scorpion,1,NA,1,NA,2503,5303
5590,1,1,0,1,2,scorpion,scorpion,banana,2,NA,2,NA,4448,6743
5549,2,1,0,1,2,scorpion,banana,scorpion,1,NA,1,NA,3100,4385
5595,1,1,0,2,1,banana,scorpion,banana,2,NA,2,NA,10287,9746
5534,1,2,0,1,2,scorpion,scorpion,banana,2,NA,2,NA,4388,5329
5532,1,2,1,1,2,banana,scorpion,scorpion,0,NA,0,NA,1867,15484
5586,1,1,1,2,1,scorpion,banana,banana,2,NA,0,NA,18628,5176
5593,2,1,0,1,2,scorpion,scorpion,banana,2,NA,2,NA,4541,5484
5591,2,1,1,2,1,banana,scorpion,banana,0,2,0,NA,5980,3004
5533,1,2,0,2,1,scorpion,banana,banana,2,NA,2,NA,2667,12515
5392,1,2,0,1,2,scorpion,banana,scorpion,1,NA,1,NA,4646,4421
5546,1,1,1,2,1,scorpion,banana,banana,2,NA,2,NA,2473,2402
5551,1,2,0,1,2,scorpion,scorpion,banana,2,NA,2,NA,3437,2958
5538,1,1,0,1,2,scorpion,scorpion,banana,2,NA,2,NA,4184,2170
5545,1,1,0,2,1,banana,scorpion,banana,0,NA,0,NA,2473,3255
5544,2,2,1,2,1,banana,scorpion,banana,2,0,0,2,5008,6164
5541,2,1,1,1,2,scorpion,banana,scorpion,1,NA,1,NA,4499,13223
