id,sender_trial_order,interpreter_trial_order,practice,sender,interpreter,n_tokens,show_tokens,n_axes,show_axes,show_imprints,n_bananas,n_scorpions,box0_content,box1_content,box2_content,box0_open_to_sender,box1_open_to_sender,box2_open_to_sender,box0_open_to_interpreter,box1_open_to_interpreter,box2_open_to_interpreter,imprint0,imprint1,imprint2,token0_x_coord,token0_y_coord,token0_z_coord,token1_x_coord,token1_y_coord,token1_z_coord,token2_x_coord,token2_y_coord,token2_z_coord,token0_box,token1_box,token2_box,axe0_box,axe1_box,axe2_box,response_time_sender,response_time_interpreter,sender_started,interpreter_started,sender_abandoned,interpreter_abandoned,sender_completed,interpreter_completed
6197,38,45,0,015,021,2,1,2,1,0,1,2,scorpion,banana,scorpion,1,1,1,0,0,0,scorpion,scorpion,banana,-150.0,130.0,-259.807621135331,540.0,10.0,400.0,,,,1,,,,,,6361,,2015-06-15 15:04:19.439257,,0,0,2015-06-15 15:04:30.858426,
6198,39,39,0,015,035,2,1,1,1,1,2,1,banana,banana,scorpion,1,1,1,0,0,0,banana,scorpion,banana,-150.0,130.0,-259.807621135331,-150.0,130.0,259.807621135332,,,,1,0,,,,,6762,,2015-06-15 15:04:35.010051,,0,0,2015-06-15 15:04:47.223398,
6199,40,36,0,015,025,2,1,1,1,1,1,2,scorpion,banana,scorpion,1,1,1,0,0,0,scorpion,banana,scorpion,300.0,130.0,-7.34788079488412e-14,-150.0,130.0,259.807621135332,,,,2,0,,,,,4982,,2015-06-15 15:04:51.387035,,0,0,2015-06-15 15:05:01.089065,
6200,41,38,0,015,036,1,1,1,1,1,2,1,banana,banana,scorpion,1,1,1,0,0,0,banana,banana,scorpion,300.0,130.0,-7.34788079488412e-14,,,,,,,2,,,,,,2934,,2015-06-15 15:05:05.318197,,0,0,2015-06-15 15:05:13.543178,
6201,42,40,0,015,030,1,1,2,1,0,1,2,scorpion,banana,scorpion,1,1,1,0,0,0,scorpion,banana,scorpion,-150.0,130.0,-259.807621135331,,,,,,,1,,,,,,4946,,2015-06-15 15:05:17.711231,,0,0,2015-06-15 15:05:27.735952,
6202,43,48,0,015,026,2,1,2,1,1,1,2,scorpion,scorpion,banana,1,1,1,0,0,0,scorpion,banana,scorpion,300.0,130.0,-7.34788079488412e-14,540.0,10.0,400.0,,,,2,,,,,,12450,,2015-06-15 15:05:31.904086,,0,0,2015-06-15 15:05:49.747845,
6203,44,38,0,015,025,2,1,2,1,1,2,1,banana,banana,scorpion,1,1,1,0,0,0,scorpion,banana,banana,-150.0,130.0,259.807621135332,-150.0,130.0,-259.807621135331,,,,0,1,,,,,8338,,2015-06-15 15:05:53.900412,,0,0,2015-06-15 15:06:07.347432,
6204,45,35,0,015,036,2,1,1,1,0,1,2,scorpion,scorpion,banana,1,1,1,0,0,0,banana,scorpion,scorpion,300.0,130.0,-7.34788079488412e-14,540.0,10.0,400.0,,,,2,,,,,,5668,,2015-06-15 15:06:11.496087,,0,0,2015-06-15 15:06:22.483013,
6206,47,40,0,015,033,1,1,2,1,0,2,1,scorpion,banana,banana,1,1,1,0,0,0,banana,banana,scorpion,300.0,130.0,-7.34788079488412e-14,,,,,,,2,,,,,,25975,,2015-06-15 15:06:45.646683,,0,0,2015-06-15 15:07:17.190970,
6207,48,44,0,015,021,2,1,2,1,0,2,1,banana,scorpion,banana,1,1,1,0,0,0,banana,banana,scorpion,300.0,130.0,-7.34788079488412e-14,-150.0,130.0,259.807621135332,,,,2,0,,,,,8444,,2015-06-15 15:07:21.349233,,0,0,2015-06-15 15:07:35.030933,
5505,50,62,0,009,024,1,1,2,1,1,1,2,scorpion,scorpion,banana,1,1,1,0,0,0,banana,scorpion,scorpion,300.0,130.0,-7.34788079488412e-14,,,,,,,2,,,,,,3432,,2015-06-15 15:08:09.500742,,0,0,2015-06-15 15:08:17.937010,
6211,52,54,0,015,030,1,1,2,1,1,1,2,scorpion,scorpion,banana,1,1,1,0,0,0,scorpion,banana,scorpion,300.0,130.0,-7.34788079488412e-14,,,,,,,2,,,,,,2668,,2015-06-15 15:08:37.026200,,0,0,2015-06-15 15:08:44.609770,
6212,53,52,0,015,036,2,1,1,1,1,1,2,banana,scorpion,scorpion,1,1,1,0,0,0,scorpion,scorpion,banana,-150.0,130.0,259.807621135332,540.0,10.0,400.0,,,,0,,,,,,3093,,2015-06-15 15:08:48.763288,,0,0,2015-06-15 15:08:56.999634,
6214,55,58,0,015,022,1,1,2,1,1,2,1,scorpion,banana,banana,1,1,1,0,0,0,scorpion,banana,banana,-150.0,130.0,259.807621135332,,,,,,,0,,,,,,4791,,2015-06-15 15:09:15.624980,,0,0,2015-06-15 15:09:25.845762,
6215,56,61,0,015,028,2,1,2,1,0,1,2,scorpion,scorpion,banana,1,1,1,0,0,0,scorpion,scorpion,banana,300.0,130.0,-7.34788079488412e-14,540.0,10.0,400.0,,,,2,,,,,,16963,,2015-06-15 15:09:30.036691,,0,0,2015-06-15 15:09:51.983792,
6217,58,60,0,015,028,2,1,2,1,0,2,1,banana,scorpion,banana,1,1,1,0,0,0,banana,banana,scorpion,-150.0,130.0,259.807621135332,300.0,130.0,-7.34788079488412e-14,,,,0,2,,,,,7905,,2015-06-15 15:10:23.576825,,0,0,2015-06-15 15:10:36.612782,
6218,59,62,0,015,029,1,1,1,1,0,1,2,scorpion,banana,scorpion,1,1,1,0,0,0,scorpion,banana,scorpion,-150.0,130.0,-259.807621135331,,,,,,,1,,,,,,7808,,2015-06-15 15:10:40.755139,,0,0,2015-06-15 15:10:53.989603,
6219,60,53,0,015,022,1,1,1,1,1,2,1,banana,scorpion,banana,1,1,1,0,0,0,banana,banana,scorpion,-150.0,130.0,-259.807621135331,,,,,,,1,,,,,,2566,,2015-06-15 15:10:58.140855,,0,0,2015-06-15 15:11:05.788391,
6221,62,51,0,015,022,1,1,1,1,0,2,1,scorpion,banana,banana,1,1,1,0,0,0,banana,banana,scorpion,-150.0,130.0,-259.807621135331,,,,,,,1,,,,,,3737,,2015-06-15 15:11:24.280383,,0,0,2015-06-15 15:11:33.527210,
6222,63,54,0,015,031,2,1,1,1,1,2,1,scorpion,banana,banana,1,1,1,0,0,0,scorpion,banana,banana,300.0,130.0,-7.34788079488412e-14,-150.0,130.0,-259.807621135331,,,,2,1,,,,,4853,,2015-06-15 15:11:37.682128,,0,0,2015-06-15 15:11:47.606844,
6223,64,53,0,015,024,2,1,2,1,1,2,1,banana,scorpion,banana,1,1,1,0,0,0,banana,banana,scorpion,300.0,130.0,-7.34788079488412e-14,-150.0,130.0,259.807621135332,,,,2,0,,,,,6224,,2015-06-15 15:11:51.758026,,0,0,2015-06-15 15:12:03.360122,
5968,1,15,0,004,029,1,1,1,1,1,1,2,banana,scorpion,scorpion,1,1,1,0,0,0,scorpion,scorpion,banana,-150.0,130.0,259.807621135332,,,,,,,0,,,,,,6136,,2015-06-15 14:54:08.338181,,0,0,2015-06-15 14:54:20.054658,
5713,2,15,0,014,023,1,1,2,1,0,2,1,banana,scorpion,banana,1,1,1,0,0,0,banana,scorpion,banana,-150.0,130.0,259.807621135332,,,,,,,0,,,,,,68347,,2015-06-15 14:54:27.975892,,0,0,2015-06-15 14:55:41.856695,
