id,sender_trial_order,interpreter_trial_order,practice,sender,interpreter,n_tokens,show_tokens,n_axes,show_axes,show_imprints,n_bananas,n_scorpions,box0_content,box1_content,box2_content,box0_open_to_sender,box1_open_to_sender,box2_open_to_sender,box0_open_to_interpreter,box1_open_to_interpreter,box2_open_to_interpreter,imprint0,imprint1,imprint2,token0_x_coord,token0_y_coord,token0_z_coord,token1_x_coord,token1_y_coord,token1_z_coord,token2_x_coord,token2_y_coord,token2_z_coord,token0_box,token1_box,token2_box,axe0_box,axe1_box,axe2_box,response_time_sender,response_time_interpreter,sender_started,interpreter_started,sender_abandoned,interpreter_abandoned,sender_completed,interpreter_completed
5632,49,59,0,001,023,1,1,2,1,0,2,1,banana,banana,scorpion,1,1,1,0,0,0,banana,scorpion,banana,300.0,130.0,-7.34788079488412e-14,,,,,,,2,,,0,1,,14806,5542,2015-06-15 15:09:17.696264,2015-06-18 15:09:46.238265,0,0,2015-06-15 15:09:38.023894,2015-06-18 15:09:57.475621
5610,27,23,0,001,033,1,1,2,1,0,2,1,banana,banana,scorpion,1,1,1,0,0,0,banana,banana,scorpion,300.0,130.0,-7.34788079488412e-14,,,,,,,2,,,2,,,9658,4283,2015-06-15 15:02:16.896635,2015-06-18 14:59:29.978855,0,0,2015-06-15 15:02:32.376355,2015-06-18 14:59:40.091587
5605,22,25,0,001,030,1,1,1,1,0,2,1,scorpion,banana,banana,1,1,1,0,0,0,scorpion,banana,banana,300.0,130.0,-7.34788079488412e-14,,,,,,,2,,,2,,,3972,2884,2015-06-15 15:00:47.949525,2015-06-18 15:00:07.485306,0,0,2015-06-15 15:00:57.384195,2015-06-18 15:00:16.243932
5607,24,22,0,001,025,2,1,1,1,0,2,1,banana,scorpion,banana,1,1,1,0,0,0,scorpion,banana,banana,-150.0,130.0,259.807621135332,540.0,10.0,400.0,,,,0,,,0,,,11675,3959,2015-06-15 15:01:23.557300,2015-06-18 15:00:37.829903,0,0,2015-06-15 15:01:40.824384,2015-06-18 15:00:47.257499
5600,17,29,0,001,033,2,1,2,1,0,1,2,scorpion,banana,scorpion,1,1,1,0,0,0,scorpion,banana,scorpion,-150.0,130.0,-259.807621135331,540.0,10.0,400.0,,,,1,,,1,,,4440,3734,2015-06-15 14:59:10.473783,2015-06-18 15:01:00.525615,0,0,2015-06-15 14:59:20.938412,2015-06-18 15:01:09.798696
5611,28,29,0,001,031,1,1,1,1,0,1,2,scorpion,banana,scorpion,1,1,1,0,0,0,banana,scorpion,scorpion,-150.0,130.0,-259.807621135331,,,,,,,1,,,1,,,6484,5256,2015-06-15 15:02:36.522854,2015-06-18 15:01:24.281777,0,0,2015-06-15 15:02:48.105764,2015-06-18 15:01:35.089226
5614,31,31,0,001,021,1,1,1,1,1,1,2,banana,scorpion,scorpion,1,1,1,0,0,0,scorpion,banana,scorpion,-150.0,130.0,259.807621135332,,,,,,,0,,,0,,,6802,1993,2015-06-15 15:03:33.256796,2015-06-18 15:01:14.030387,0,0,2015-06-15 15:03:45.198454,2015-06-18 15:01:21.131104
5603,20,32,0,001,024,2,1,1,1,1,2,1,banana,scorpion,banana,1,1,1,0,0,0,scorpion,banana,banana,-150.0,130.0,259.807621135332,540.0,10.0,400.0,,,,0,,,1,,,6625,4952,2015-06-15 15:00:17.082082,2015-06-18 15:01:20.918475,0,0,2015-06-15 15:00:29.174727,2015-06-18 15:01:31.305703
5604,21,31,0,001,023,2,1,1,1,0,1,2,banana,scorpion,scorpion,1,1,1,0,0,0,scorpion,banana,scorpion,-150.0,130.0,259.807621135332,540.0,10.0,400.0,,,,0,,,0,,,4708,3511,2015-06-15 15:00:33.495699,2015-06-18 15:02:22.770378,0,0,2015-06-15 15:00:43.838112,2015-06-18 15:02:31.891200
5616,33,35,0,001,028,2,1,1,1,1,2,1,scorpion,banana,banana,1,1,1,0,0,0,scorpion,banana,banana,-150.0,130.0,-259.807621135331,540.0,10.0,400.0,,,,1,,,2,,,9882,4081,2015-06-15 15:04:02.078663,2015-06-18 15:02:32.484727,0,0,2015-06-15 15:04:17.666844,2015-06-18 15:02:42.446960
